epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_RMSE,val_loss
18,13242,,0.2908831834793091,,,
18,13242,,,1.9820587635040283,2.8813488483428955,0.297575443983078
18,13242,0.2994398772716522,,,,
19,13939,,0.27677950263023376,,,
19,13939,,,1.972167730331421,2.8758203983306885,0.2962319254875183
19,13939,0.2987382411956787,,,,
20,14636,,0.2875199019908905,,,
20,14636,,,1.9804577827453613,2.875339984893799,0.2975004017353058
20,14636,0.29828548431396484,,,,
21,15333,,0.31232738494873047,,,
21,15333,,,1.9735170602798462,2.8756144046783447,0.29605504870414734
21,15333,0.29766330122947693,,,,
22,16030,,0.32095929980278015,,,
22,16030,,,1.9844952821731567,2.880613327026367,0.2970896363258362
22,16030,0.2970687747001648,,,,
23,16727,,0.28464001417160034,,,
23,16727,,,1.966046690940857,2.8694849014282227,0.29490116238594055
23,16727,0.2965856194496155,,,,
24,17424,,0.28837940096855164,,,
24,17424,,,1.963761329650879,2.872770071029663,0.2941456437110901
24,17424,0.2960871458053589,,,,
25,18121,,0.30190765857696533,,,
25,18121,,,1.9838942289352417,2.8824751377105713,0.29652369022369385
25,18121,0.29568421840667725,,,,
26,18818,,0.29983726143836975,,,
26,18818,,,1.9776157140731812,2.8815882205963135,0.29553064703941345
26,18818,0.2956526577472687,,,,
27,19515,,0.33458784222602844,,,
27,19515,,,1.959756851196289,2.871305227279663,0.2937772572040558
27,19515,0.2954992651939392,,,,
28,20212,,0.30402567982673645,,,
28,20212,,,1.962790846824646,2.8673014640808105,0.29422736167907715
28,20212,0.29516056180000305,,,,
29,20909,,0.26762571930885315,,,
29,20909,,,1.9608592987060547,2.8635005950927734,0.2941237986087799
29,20909,0.29489412903785706,,,,
30,21606,,0.28523769974708557,,,
30,21606,,,1.9622445106506348,2.8641841411590576,0.29407718777656555
30,21606,0.2944023311138153,,,,
31,22303,,0.2879250943660736,,,
31,22303,,,1.967856764793396,2.866529703140259,0.2950795590877533
31,22303,0.2944241464138031,,,,
32,23000,,0.31056860089302063,,,
32,23000,,,1.9569028615951538,2.864147424697876,0.29363998770713806
32,23000,0.2942115068435669,,,,
33,23697,,0.2795724868774414,,,
33,23697,,,1.9592362642288208,2.8616180419921875,0.2938040494918823
33,23697,0.2940337657928467,,,,
34,24394,,0.28553494811058044,,,
34,24394,,,1.9593942165374756,2.862283229827881,0.29392993450164795
34,24394,0.2939486503601074,,,,
35,25091,,0.27855995297431946,,,
35,25091,,,1.972099781036377,2.866396188735962,0.2953501045703888
35,25091,0.2934032082557678,,,,
36,25788,,0.29669782519340515,,,
36,25788,,,1.9644639492034912,2.8638129234313965,0.29437947273254395
36,25788,0.2935774028301239,,,,
37,26485,,0.3052448332309723,,,
37,26485,,,1.9545778036117554,2.854825973510742,0.29350072145462036
37,26485,0.29328832030296326,,,,
38,27182,,0.2954080104827881,,,
38,27182,,,1.969550371170044,2.8634934425354004,0.2952896058559418
38,27182,0.2931356132030487,,,,
39,27879,,0.3250423073768616,,,
39,27879,,,1.9708824157714844,2.8661370277404785,0.2950591742992401
39,27879,0.2929220199584961,,,,
40,28576,,0.27799513936042786,,,
40,28576,,,1.966679334640503,2.8598713874816895,0.29484543204307556
40,28576,0.2926075756549835,,,,
41,29273,,0.26510611176490784,,,
41,29273,,,1.9595462083816528,2.8543248176574707,0.2941558361053467
41,29273,0.2924477458000183,,,,
42,29970,,0.30204543471336365,,,
42,29970,,,1.98399817943573,2.878041982650757,0.2961661219596863
42,29970,0.29249683022499084,,,,
43,30667,,0.30927106738090515,,,
43,30667,,,1.9638950824737549,2.857846975326538,0.2946053743362427
43,30667,0.2921326160430908,,,,
44,31364,,0.29249387979507446,,,
44,31364,,,1.9692809581756592,2.862065315246582,0.29521384835243225
44,31364,0.29186177253723145,,,,
45,32061,,0.268475741147995,,,
45,32061,,,1.9644497632980347,2.859804630279541,0.2944551706314087
